"country_name","cntry","iso3","macro_region","essyear","n","lr","vote_rate","trust","trstprl","trstplt","trstprt","stfgov","ipcrtiv","impfree","ipshabt","ipsuces","impsafe","ipstrgv","ipgdtim","ipudrst","ipeqopt","iphlppl","iplylfr","ipadvnt","ipbhprp","ipmodst","ipfrule","val_self_direction","val_stimulation","val_hedonism","val_power","val_security","val_universalism","val_benevolence","val_conservation","val_openness","val_self_transc","val_self_enh","openness","conservation","self_transc","self_enh"
"Albania","AL","ALB","Eastern",2012,1201,4.94855305466238,0.846153846153846,2.0467409948542,2.27934044616877,1.54669084315503,1.87740164684355,2.61904761904762,2.53860294117647,2.13959613696225,2.4049955396967,2.34553571428571,1.98334794040315,1.72202797202797,2.45583038869258,2.32770870337478,1.86835222319093,1.82456140350877,1.76646180860404,3.96573489630298,2.20671378091873,1.99646330680813,2.74580759046778,2.33405923344948,3.96573489630298,2.45583038869258,1.72202797202797,1.98334794040315,2.09695652173913,1.79860505666957,2.28356481481481,2.90508253692441,1.95307093425606,2.17320546352804,2.90508253692441,2.28356481481481,1.95307093425606,2.17320546352804
"Austria","AT","AUT","Western",2002,2257,4.30711825487945,0.873272987136732,3.60684596577017,4.07822277847309,3.03076147251639,,3.1420054200542,2.43275632490013,2.005770084332,2.97112394491337,2.84547069271759,2.35936113575865,2.53439857967155,2.4924578527063,2.33229813664596,2.01685891748004,2.29724933451642,1.77639751552795,3.83570159857904,2.85536823425022,3.1109631602308,3.491344873502,2.22005323868678,3.83570159857904,2.4924578527063,2.53439857967155,2.35936113575865,2.174578527063,2.03682342502218,2.98291925465839,2.849157054126,2.10570097604259,2.62407571724342,2.849157054126,2.98291925465839,2.10570097604259,2.62407571724342
"Austria","AT","AUT","Western",2004,2256,4.17811408614668,0.79492600422833,3.36382404319517,3.90453460620525,2.87986041874377,3.00752256770311,3.53585544889893,2.42098153984691,2.02513464991023,2.87663214768122,2.90933694181326,2.37887640449438,2.5546875,2.50358422939068,2.39356884057971,2.08190819081908,2.28899909828674,1.77013574660634,3.73399458972047,2.83105646630237,3.19101633393829,3.59287996348699,2.22515666965085,3.73399458972047,2.50358422939068,2.5546875,2.37887640449438,2.23937360178971,2.0358262427228,3.00617835343159,2.82243303571429,2.13872767857143,2.66339139496799,2.82243303571429,3.00617835343159,2.13872767857143,2.66339139496799
"Austria","AT","AUT","Western",2006,2405,4.24465558194774,0.857274826789839,3.38908712459114,3.9519906323185,2.92665726375176,2.95572303344324,3.59097978227061,2.4331777683496,2.02415254237288,2.90859077443927,2.89583333333333,2.37457627118644,2.47803617571059,2.48267117497887,2.47948717948718,2.10170212765957,2.32528589580686,1.76061120543294,3.78565365025467,2.89170605930382,3.26282323018228,3.64738886491152,2.23465096719933,3.78565365025467,2.48267117497887,2.47803617571059,2.37457627118644,2.29561736198904,2.04844144903117,3.04585259913129,2.83263364119787,2.17289131347042,2.62154967073,2.83263364119787,3.04585259913129,2.17289131347042,2.62154967073
"Austria","AT","AUT","Western",2014,1795,4.35403726708075,0.77185628742515,3.40114330770747,3.71879588839941,3.00249532127261,2.969375,3.33723196881092,2.5025069637883,1.93259052924791,2.96657381615599,2.8991643454039,1.95153203342618,2.07353760445683,2.48857938718663,2.27743732590529,1.95153203342618,2.0857938718663,1.67242339832869,3.9025069637883,2.35097493036212,2.80612813370474,3.14094707520891,2.21754874651811,3.9025069637883,2.48857938718663,2.07353760445683,1.95153203342618,2.11448467966574,1.87910863509749,2.71629526462396,2.86954503249768,1.99679665738162,2.48709377901578,2.86954503249768,2.71629526462396,1.99679665738162,2.48709377901578
"Austria","AT","AUT","Western",2016,2010,4.48754914809961,0.851336898395722,3.73601429848079,4.133069828722,3.33638968481375,3.28490028490028,3.71807526218384,2.59989984977466,2.13163163163163,2.89518555667001,2.97545090180361,2.07368421052632,2.10764587525151,2.62769693928751,2.38014042126379,2.20402010050251,2.1713567839196,1.8592889334001,3.81083793276468,2.44249121044701,2.91511803114013,3.13897280966767,2.36645032451323,3.81083793276468,2.62769693928751,2.10764587525151,2.07368421052632,2.29445554445554,2.01549225387306,2.75703463203463,2.93325848303393,2.15551672491263,2.57383333333333,2.93325848303393,2.75703463203463,2.15551672491263,2.57383333333333
"Austria","AT","AUT","Western",2018,2499,4.32883817427386,0.852991452991453,4.01295564339043,4.40130023640662,3.65267175572519,3.57907196969697,4.17647058823529,2.53473344103393,1.98910411622276,2.80621719822366,2.99395405078597,2.02864058087939,2.09113001215067,2.55008077544427,2.30750507099391,2.08124494745352,2.08205335489086,1.64490124949617,4.00807102502018,2.38843977364592,2.97529364115026,3.23510336441022,2.26529790660225,4.00807102502018,2.55008077544427,2.09113001215067,2.02864058087939,2.19838709677419,1.86590269400885,2.76069321533923,2.94135182207931,2.03416398713826,2.54650851092347,2.94135182207931,2.76069321533923,2.03416398713826,2.54650851092347
"Austria","AT","AUT","Western",2020,2003,4.0337552742616,0.92257360959651,3.13908934707904,3.71892655367232,2.7118186724231,2.70127118644068,2.95620437956204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austria","AT","AUT","Western",2022,2354,4.4272678475577,0.808131566925537,3.68295107033639,4.17884278199883,3.2575315840622,3.19121951219512,3.3254376930999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belgium","BE","BEL","Western",2002,1899,4.32558139534884,0.852253280091272,4.05426356589148,4.16428033157498,3.75299306868305,,4.34785932721713,2.57636265515381,2.11517761033369,3.25712748789672,3.20964247020585,2.42795698924731,2.58753387533875,2.54374664519592,2.28163704900377,2.05627009646302,2.15529285330468,1.79903017241379,3.86490850376749,2.66972972972973,2.60874257960065,3.13579576317219,2.34801288936627,3.86490850376749,2.54374664519592,2.58753387533875,2.42795698924731,2.16987693953986,1.97696839850027,2.85476956055734,2.92014446227929,2.07343499197432,2.78104925053533,2.92014446227929,2.85476956055734,2.07343499197432,2.78104925053533
